"Task_ID","Scenario_ID","Trial_num","Run_num","Year","Month","Num_services","Service_time","Health_benefit"
"ANC","Expanded baseline",1,1,2020,1,55,655,NA
"Newborn","Expanded baseline",1,1,2020,1,26,758,NA
"WellChild","Expanded baseline",1,1,2020,1,0,0,NA
"RI_yr1","Expanded baseline",1,1,2020,1,0,0,NA
"RI_yr2","Expanded baseline",1,1,2020,1,0,0,NA
"Diarrhea_U5","Expanded baseline",1,1,2020,1,155,839,NA
"Parasites_U5","Expanded baseline",1,1,2020,1,48,260,NA
"Malnutrition_U5","Expanded baseline",1,1,2020,1,33,180,NA
"Contraception","Expanded baseline",1,1,2020,1,125,588,NA
"HIV_test","Expanded baseline",1,1,2020,1,0,1,NA
"Malaria_test","Expanded baseline",1,1,2020,1,51,258,NA
"SmokingCessation","Expanded baseline",1,1,2020,1,0,5,NA
"MalariaTreat_adults","Expanded baseline",1,1,2020,1,6,66,NA
"MalariaTreat_children","Expanded baseline",1,1,2020,1,5,49,NA
"Hyper1524","Expanded baseline",1,1,2020,1,8,40,NA
"Hyper2534","Expanded baseline",1,1,2020,1,10,53,NA
"Hyper3544","Expanded baseline",1,1,2020,1,8,41,NA
"Hyper4554","Expanded baseline",1,1,2020,1,6,33,NA
"Hyper5564","Expanded baseline",1,1,2020,1,5,28,NA
"Hyperr65","Expanded baseline",1,1,2020,1,6,32,NA
"Recordkeeping","Expanded baseline",1,1,2020,1,417,2025,NA
"Surveillance","Expanded baseline",1,1,2020,1,0,2,NA
"Overhead_1","Expanded baseline",1,1,2020,1,0,1200,NA
"Overhead_2","Expanded baseline",1,1,2020,1,0,1200,NA
"ANC","Expanded baseline",1,1,2020,2,54,647,NA
"Newborn","Expanded baseline",1,1,2020,2,26,758,NA
"WellChild","Expanded baseline",1,1,2020,2,0,0,NA
"RI_yr1","Expanded baseline",1,1,2020,2,0,0,NA
"RI_yr2","Expanded baseline",1,1,2020,2,0,0,NA
"Diarrhea_U5","Expanded baseline",1,1,2020,2,155,839,NA
"Parasites_U5","Expanded baseline",1,1,2020,2,48,260,NA
"Malnutrition_U5","Expanded baseline",1,1,2020,2,47,255,NA
"Contraception","Expanded baseline",1,1,2020,2,125,588,NA
"HIV_test","Expanded baseline",1,1,2020,2,0,1,NA
"Malaria_test","Expanded baseline",1,1,2020,2,49,247,NA
"SmokingCessation","Expanded baseline",1,1,2020,2,0,5,NA
"MalariaTreat_adults","Expanded baseline",1,1,2020,2,6,64,NA
"MalariaTreat_children","Expanded baseline",1,1,2020,2,4,47,NA
"Hyper1524","Expanded baseline",1,1,2020,2,8,40,NA
"Hyper2534","Expanded baseline",1,1,2020,2,10,53,NA
"Hyper3544","Expanded baseline",1,1,2020,2,8,41,NA
"Hyper4554","Expanded baseline",1,1,2020,2,6,33,NA
"Hyper5564","Expanded baseline",1,1,2020,2,5,28,NA
"Hyperr65","Expanded baseline",1,1,2020,2,6,32,NA
"Recordkeeping","Expanded baseline",1,1,2020,2,417,2025,NA
"Surveillance","Expanded baseline",1,1,2020,2,0,2,NA
"Overhead_1","Expanded baseline",1,1,2020,2,0,1200,NA
"Overhead_2","Expanded baseline",1,1,2020,2,0,1200,NA
"ANC","Expanded baseline",1,1,2020,3,53,630,NA
"Newborn","Expanded baseline",1,1,2020,3,26,758,NA
"WellChild","Expanded baseline",1,1,2020,3,0,0,NA
"RI_yr1","Expanded baseline",1,1,2020,3,0,0,NA
"RI_yr2","Expanded baseline",1,1,2020,3,0,0,NA
"Diarrhea_U5","Expanded baseline",1,1,2020,3,155,839,NA
"Parasites_U5","Expanded baseline",1,1,2020,3,48,260,NA
"Malnutrition_U5","Expanded baseline",1,1,2020,3,18,96,NA
"Contraception","Expanded baseline",1,1,2020,3,125,588,NA
"HIV_test","Expanded baseline",1,1,2020,3,0,1,NA
"Malaria_test","Expanded baseline",1,1,2020,3,46,234,NA
"SmokingCessation","Expanded baseline",1,1,2020,3,0,5,NA
"MalariaTreat_adults","Expanded baseline",1,1,2020,3,6,60,NA
"MalariaTreat_children","Expanded baseline",1,1,2020,3,4,44,NA
"Hyper1524","Expanded baseline",1,1,2020,3,8,40,NA
"Hyper2534","Expanded baseline",1,1,2020,3,10,53,NA
"Hyper3544","Expanded baseline",1,1,2020,3,8,41,NA
"Hyper4554","Expanded baseline",1,1,2020,3,6,33,NA
"Hyper5564","Expanded baseline",1,1,2020,3,5,28,NA
"Hyperr65","Expanded baseline",1,1,2020,3,6,32,NA
"Recordkeeping","Expanded baseline",1,1,2020,3,417,2025,NA
"Surveillance","Expanded baseline",1,1,2020,3,0,2,NA
"Overhead_1","Expanded baseline",1,1,2020,3,0,1200,NA
"Overhead_2","Expanded baseline",1,1,2020,3,0,1200,NA
"ANC","Expanded baseline",1,1,2020,4,52,622,NA
"Newborn","Expanded baseline",1,1,2020,4,26,758,NA
"WellChild","Expanded baseline",1,1,2020,4,0,0,NA
"RI_yr1","Expanded baseline",1,1,2020,4,0,0,NA
"RI_yr2","Expanded baseline",1,1,2020,4,0,0,NA
"Diarrhea_U5","Expanded baseline",1,1,2020,4,155,839,NA
"Parasites_U5","Expanded baseline",1,1,2020,4,48,260,NA
"Malnutrition_U5","Expanded baseline",1,1,2020,4,8,42,NA
"Contraception","Expanded baseline",1,1,2020,4,125,588,NA
"HIV_test","Expanded baseline",1,1,2020,4,0,1,NA
"Malaria_test","Expanded baseline",1,1,2020,4,46,234,NA
"SmokingCessation","Expanded baseline",1,1,2020,4,0,5,NA
"MalariaTreat_adults","Expanded baseline",1,1,2020,4,6,60,NA
"MalariaTreat_children","Expanded baseline",1,1,2020,4,4,44,NA
"Hyper1524","Expanded baseline",1,1,2020,4,8,40,NA
"Hyper2534","Expanded baseline",1,1,2020,4,10,53,NA
"Hyper3544","Expanded baseline",1,1,2020,4,8,41,NA
"Hyper4554","Expanded baseline",1,1,2020,4,6,33,NA
"Hyper5564","Expanded baseline",1,1,2020,4,5,28,NA
"Hyperr65","Expanded baseline",1,1,2020,4,6,32,NA
"Recordkeeping","Expanded baseline",1,1,2020,4,417,2025,NA
"Surveillance","Expanded baseline",1,1,2020,4,0,2,NA
"Overhead_1","Expanded baseline",1,1,2020,4,0,1200,NA
"Overhead_2","Expanded baseline",1,1,2020,4,0,1200,NA
"ANC","Expanded baseline",1,1,2020,5,50,590,NA
"Newborn","Expanded baseline",1,1,2020,5,26,758,NA
"WellChild","Expanded baseline",1,1,2020,5,0,0,NA
"RI_yr1","Expanded baseline",1,1,2020,5,14,65,NA
"RI_yr2","Expanded baseline",1,1,2020,5,0,0,NA
"Diarrhea_U5","Expanded baseline",1,1,2020,5,155,839,NA
"Parasites_U5","Expanded baseline",1,1,2020,5,48,260,NA
"Malnutrition_U5","Expanded baseline",1,1,2020,5,10,54,NA
"Contraception","Expanded baseline",1,1,2020,5,125,588,NA
"HIV_test","Expanded baseline",1,1,2020,5,0,1,NA
"Malaria_test","Expanded baseline",1,1,2020,5,49,247,NA
"SmokingCessation","Expanded baseline",1,1,2020,5,0,5,NA
"MalariaTreat_adults","Expanded baseline",1,1,2020,5,6,64,NA
"MalariaTreat_children","Expanded baseline",1,1,2020,5,4,47,NA
"Hyper1524","Expanded baseline",1,1,2020,5,8,40,NA
"Hyper2534","Expanded baseline",1,1,2020,5,10,53,NA
"Hyper3544","Expanded baseline",1,1,2020,5,8,41,NA
"Hyper4554","Expanded baseline",1,1,2020,5,6,33,NA
"Hyper5564","Expanded baseline",1,1,2020,5,5,28,NA
"Hyperr65","Expanded baseline",1,1,2020,5,6,32,NA
"Recordkeeping","Expanded baseline",1,1,2020,5,417,2025,NA
"Surveillance","Expanded baseline",1,1,2020,5,0,2,NA
"Overhead_1","Expanded baseline",1,1,2020,5,0,1200,NA
"Overhead_2","Expanded baseline",1,1,2020,5,0,1200,NA
"ANC","Expanded baseline",1,1,2020,6,53,639,NA
"Newborn","Expanded baseline",1,1,2020,6,26,758,NA
"WellChild","Expanded baseline",1,1,2020,6,0,0,NA
"RI_yr1","Expanded baseline",1,1,2020,6,13,60,NA
"RI_yr2","Expanded baseline",1,1,2020,6,0,0,NA
"Diarrhea_U5","Expanded baseline",1,1,2020,6,155,839,NA
"Parasites_U5","Expanded baseline",1,1,2020,6,48,260,NA
"Malnutrition_U5","Expanded baseline",1,1,2020,6,12,66,NA
"Contraception","Expanded baseline",1,1,2020,6,125,588,NA
"HIV_test","Expanded baseline",1,1,2020,6,0,1,NA
