"Task_ID","Scenario_ID","Trial_num","Run_num","Year","Month","Num_services","Service_time","Health_benefit"
"ANC","Basic package no fertility decline",1,1,2020,1,55,655,NA
"Newborn","Basic package no fertility decline",1,1,2020,1,26,758,NA
"WellChild","Basic package no fertility decline",1,1,2020,1,0,0,NA
"RI_yr1","Basic package no fertility decline",1,1,2020,1,0,0,NA
"RI_yr2","Basic package no fertility decline",1,1,2020,1,0,0,NA
"Diarrhea_U5","Basic package no fertility decline",1,1,2020,1,147,795,NA
"Parasites_U5","Basic package no fertility decline",1,1,2020,1,42,228,NA
"Malnutrition_U5","Basic package no fertility decline",1,1,2020,1,37,203,NA
"Contraception","Basic package no fertility decline",1,1,2020,1,120,562,NA
"HIV_test","Basic package no fertility decline",1,1,2020,1,0,1,NA
"Malaria_test","Basic package no fertility decline",1,1,2020,1,54,273,NA
"SmokingCessation","Basic package no fertility decline",1,1,2020,1,1,5,NA
"MalariaTreat_adults","Basic package no fertility decline",1,1,2020,1,5,55,NA
"MalariaTreat_children","Basic package no fertility decline",1,1,2020,1,5,57,NA
"ANC","Basic package no fertility decline",1,1,2020,2,54,647,NA
"Newborn","Basic package no fertility decline",1,1,2020,2,26,758,NA
"WellChild","Basic package no fertility decline",1,1,2020,2,0,0,NA
"RI_yr1","Basic package no fertility decline",1,1,2020,2,0,0,NA
"RI_yr2","Basic package no fertility decline",1,1,2020,2,0,0,NA
"Diarrhea_U5","Basic package no fertility decline",1,1,2020,2,147,795,NA
"Parasites_U5","Basic package no fertility decline",1,1,2020,2,42,228,NA
"Malnutrition_U5","Basic package no fertility decline",1,1,2020,2,53,287,NA
"Contraception","Basic package no fertility decline",1,1,2020,2,120,562,NA
"HIV_test","Basic package no fertility decline",1,1,2020,2,0,1,NA
"Malaria_test","Basic package no fertility decline",1,1,2020,2,51,261,NA
"SmokingCessation","Basic package no fertility decline",1,1,2020,2,1,5,NA
"MalariaTreat_adults","Basic package no fertility decline",1,1,2020,2,5,53,NA
"MalariaTreat_children","Basic package no fertility decline",1,1,2020,2,5,54,NA
"ANC","Basic package no fertility decline",1,1,2020,3,53,630,NA
"Newborn","Basic package no fertility decline",1,1,2020,3,26,758,NA
"WellChild","Basic package no fertility decline",1,1,2020,3,0,0,NA
"RI_yr1","Basic package no fertility decline",1,1,2020,3,0,0,NA
"RI_yr2","Basic package no fertility decline",1,1,2020,3,0,0,NA
"Diarrhea_U5","Basic package no fertility decline",1,1,2020,3,147,795,NA
"Parasites_U5","Basic package no fertility decline",1,1,2020,3,42,228,NA
"Malnutrition_U5","Basic package no fertility decline",1,1,2020,3,20,108,NA
"Contraception","Basic package no fertility decline",1,1,2020,3,120,562,NA
"HIV_test","Basic package no fertility decline",1,1,2020,3,0,1,NA
"Malaria_test","Basic package no fertility decline",1,1,2020,3,49,247,NA
"SmokingCessation","Basic package no fertility decline",1,1,2020,3,1,5,NA
"MalariaTreat_adults","Basic package no fertility decline",1,1,2020,3,5,50,NA
"MalariaTreat_children","Basic package no fertility decline",1,1,2020,3,5,51,NA
"ANC","Basic package no fertility decline",1,1,2020,4,52,622,NA
"Newborn","Basic package no fertility decline",1,1,2020,4,26,758,NA
"WellChild","Basic package no fertility decline",1,1,2020,4,0,0,NA
"RI_yr1","Basic package no fertility decline",1,1,2020,4,0,0,NA
"RI_yr2","Basic package no fertility decline",1,1,2020,4,0,0,NA
"Diarrhea_U5","Basic package no fertility decline",1,1,2020,4,147,795,NA
"Parasites_U5","Basic package no fertility decline",1,1,2020,4,42,228,NA
"Malnutrition_U5","Basic package no fertility decline",1,1,2020,4,8,48,NA
"Contraception","Basic package no fertility decline",1,1,2020,4,120,562,NA
"HIV_test","Basic package no fertility decline",1,1,2020,4,0,1,NA
"Malaria_test","Basic package no fertility decline",1,1,2020,4,49,248,NA
"SmokingCessation","Basic package no fertility decline",1,1,2020,4,1,5,NA
"MalariaTreat_adults","Basic package no fertility decline",1,1,2020,4,5,50,NA
"MalariaTreat_children","Basic package no fertility decline",1,1,2020,4,5,51,NA
"ANC","Basic package no fertility decline",1,1,2020,5,50,590,NA
"Newborn","Basic package no fertility decline",1,1,2020,5,26,758,NA
"WellChild","Basic package no fertility decline",1,1,2020,5,0,0,NA
"RI_yr1","Basic package no fertility decline",1,1,2020,5,14,65,NA
"RI_yr2","Basic package no fertility decline",1,1,2020,5,0,0,NA
"Diarrhea_U5","Basic package no fertility decline",1,1,2020,5,147,795,NA
"Parasites_U5","Basic package no fertility decline",1,1,2020,5,42,228,NA
"Malnutrition_U5","Basic package no fertility decline",1,1,2020,5,10,61,NA
"Contraception","Basic package no fertility decline",1,1,2020,5,120,562,NA
"HIV_test","Basic package no fertility decline",1,1,2020,5,0,1,NA
"Malaria_test","Basic package no fertility decline",1,1,2020,5,51,261,NA
"SmokingCessation","Basic package no fertility decline",1,1,2020,5,1,5,NA
"MalariaTreat_adults","Basic package no fertility decline",1,1,2020,5,5,53,NA
"MalariaTreat_children","Basic package no fertility decline",1,1,2020,5,5,54,NA
"ANC","Basic package no fertility decline",1,1,2020,6,53,641,NA
"Newborn","Basic package no fertility decline",1,1,2020,6,26,758,NA
"WellChild","Basic package no fertility decline",1,1,2020,6,0,0,NA
"RI_yr1","Basic package no fertility decline",1,1,2020,6,13,60,NA
"RI_yr2","Basic package no fertility decline",1,1,2020,6,0,0,NA
