"","Scenario_ID","Year","ClinicalCat","ClinicalOrNon","WeeksPerYr","CI05","CI25","MeanHrs","CI75","CI95","HrsPerWeek","BaselinePop","o_PopGrowth","o_Fertility_decr","o_MHIVTB_decr","o_ChildDis_decr","sheet_TaskValues","sheet_PopValues","sheet_SeasonalityCurves","sheet_Cadre","DeliveryModel","Geography_dontedit","Notes"
"1","BasicModel",2021,"-","Non-clinical",48,1440,1440,1440,1440,1440,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"2","BasicModel",2021,"-","Non-productive",48,1165.2,1223.6,1245.16,1272.4,1309.68,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"3","BasicModel",2021,"Acute","Clinical",48,1065.95,1123.55,1136.51,1177.2,1182.70666666666,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"4","BasicModel",2021,"Preventive","Clinical",48,1505.11333333333,1506.23333333333,1537.43,1550,1575.72,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"5","BasicModel",2021,"Public Health","Clinical",48,64.0466666666667,67.5666666666667,70.01,71.05,78.5166666666667,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"6","BasicModel",2021,"Public Health","Non-clinical",48,250.52,270.2,289.84,307.4,317.96,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"7","BasicModel",2022,"-","Non-clinical",48,1440,1440,1440,1440,1440,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"8","BasicModel",2022,"-","Non-productive",48,1190.44,1253,1288.52,1329.8,1380.2,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"9","BasicModel",2022,"Acute","Clinical",48,1096.59666666667,1127.38333333333,1173.21,1223.81666666666,1249.20333333333,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
"10","BasicModel",2022,"Preventive","Clinical",48,1520.36,1559.73333333333,1583.25333333333,1613.26666666667,1625.42666666667,32,5000,TRUE,TRUE,TRUE,TRUE,"TV_Basic","PopValues","SeasonalityCurves","Cadres_Basic","Basic","Ethiopia",NA
